,Image,Acc,F1,Jaccard,Recall,Precision
0,01_test_0,0.9349021911621094,0.48911774391521723,0.3237298882460173,0.9286120268273275,0.33199219702511584
1,01_test_1,0.9340362548828125,0.48758371362531855,0.3223872408793448,0.9345677609905714,0.3298320169987572
2,01_test_2,0.9349822998046875,0.4895171918054391,0.3240799492385787,0.9289530521768785,0.3323167012321581
3,01_test_3,0.93377685546875,0.4597958675628579,0.2985291740746727,0.8289946140035906,0.3181191870478815
4,01_test_4,0.9442977905273438,0.4594654623528542,0.2982506728181469,0.9276532137518685,0.30535327691399333
5,01_test_5,0.9220619201660156,0.47109684433974475,0.3081273281408737,0.6537577238108924,0.3682165837076606
6,02_test_0,0.9407577514648438,0.5720584182970515,0.40061752219220376,0.942009256738361,0.41074749713109887
7,02_test_1,0.9408721923828125,0.5715628282381557,0.40013158403963,0.9376927262833303,0.4110607506361323
8,02_test_2,0.9404296875,0.5689283939711809,0.3975541067088461,0.9352028314729104,0.40881501170309836
9,02_test_3,0.93896484375,0.5179270864718288,0.34946127261638543,0.8716154548220262,0.36842556474773885
10,02_test_4,0.9342842102050781,0.5820211088196044,0.4104582320933575,0.9062334718549301,0.42866333095067904
11,02_test_5,0.91058349609375,0.586216636068352,0.414643891719109,0.7433073686095443,0.4839405421160012
12,03_test_0,0.9571609497070312,0.582434743809028,0.41086979330605394,0.725453871804372,0.4865200646042987
13,03_test_1,0.9568099975585938,0.5785123966942148,0.4069767441860465,0.7194444444444444,0.48375046694060514
14,03_test_2,0.9570465087890625,0.5770733173076924,0.40555379579769824,0.711559836976658,0.485342431134698
15,03_test_3,0.9554939270019531,0.5343444422271003,0.36457709275093947,0.6211952487008167,0.46880033615799427
16,03_test_4,0.9502487182617188,0.5812624414049957,0.4097039920340364,0.6867460738942417,0.5038686334539382
17,03_test_5,0.9544715881347656,0.4876143047267419,0.3224139888724878,0.7196806488404511,0.3687183482664589
18,04_test_0,0.948394775390625,0.5718445372832003,0.40040776526903643,0.9252355591970504,0.41379626236716743
19,04_test_1,0.9486656188964844,0.5725629704920114,0.4011125945705385,0.9229902713773681,0.41500138134266507
20,04_test_2,0.9484977722167969,0.5724961210854628,0.401046981056741,0.9258500614502253,0.4143557776046202
21,04_test_3,0.9452056884765625,0.5303733734388282,0.36088987764182423,0.8711201804317474,0.3812455934195065
22,04_test_4,0.9476852416992188,0.5742051664182811,0.4027263620922434,0.9098691331299813,0.41946019505556814
23,04_test_5,0.9230461120605469,0.5895876141842817,0.418024983411707,0.8554729011689692,0.4497904702778209
24,05_test_0,0.9554977416992188,0.5890227576974565,0.4174573055028463,0.8865323435843054,0.44102131251318843
25,05_test_1,0.9551925659179688,0.5896450531022919,0.4180827347039881,0.8938671750873848,0.43992076317572854
